Vassar College, www.vassar.edu, 26
University of California, www.universityofcalifornia.edu, 113
College of William & Mary, None, 41
Cal Polytechnic State University, None, 157
University of Texas at Austin, www.utexas.edu, 76
Rice University, www.rice.edu, 32
University of Maryland, www.umd.edu, 170
Boston University, www.bu.edu, 89
University of Colorado, None, 118
Grove City College, http://www.gcc.edu/, 148
Lehigh University, www.lehigh.edu, 77
College of The Ozarks, None, 194
Yale University, yale.edu, 6
Colgate University, www.colgate.edu, 38
New York University, www.nyu.edu, 72
Macalester College, macalester.edu, 66
Wellesley College, wellesley.edu, 29
Kenyon College, www.kenyon.edu, 42
Georgetown University, www.georgetown.edu, 28
Pennsylvania State University, www.psu.edu, 166
Saint Louis University, www.slu.edu, 191
University of California at Berkeley, berkeley.edu, 1
University of Southern California, www.usc.edu, 78
Dartmouth College, dartmouth.edu, 18
Miami University-Oxford, None, 176
Creighton University, www.creighton.edu, 156
Carnegie-Mellon University, None, 59
Purdue University, www.purdue.edu, 119
California Institute of Technology, caltech.edu, 21
University of Denver, www.du.edu, 139
Gustavus Adolphus College, gustavus.edu, 201
Texas Christian University, www.tcu.edu, 216
University of Virginia, www.virginia.edu, 40
Northeastern University, www.northeastern.edu, 209
Gettysburg College, www.gettysburg.edu, 103
