extension.py:81 Configuring CORS with resources: {'/*': {'automatic_options': True, 'allow_headers': ['.*'], 'send_wildcard': False, 'intercept_exceptions': True, 'origins': ['.*'], 'vary_header': True, 'supports_credentials': False, 'resources': '/*', 'methods': 'DELETE, GET, HEAD, OPTIONS, PATCH, POST, PUT'}}
University Name, Website, College Application Submission Date, Source
UC Berkeley, www.berkeley.edu, 11/30/2015, http://admissions.berkeley.edu/datesdeadlines
120, Yeshiva University, www.yu.edu, , 
65, Bryn Mawr College, www.brynmawr.edu, , 
123, University of Redlands, www.redlands.edu, , 
202, University Of Oklahoma Norman Campus, None, , 
108, University of Minnesota, Twin Cities, www.umn.edu, , 
164, University of Connecticut, www.uconn.edu, , 
54, Vanderbilt University, www.vanderbilt.edu, , 
197, Southeastern University, None, , 
169, Michigan State University, www.msu.edu, , 
30, Middlebury College, None, , 
213, University of Tulsa, www.utulsa.edu, , 
96, University of Richmond, www.richmond.edu, , 
140, University of Vermont, www.uvm.edu, , 
58, Grinnell College, grinnell.edu, , 
25, Tufts University, tufts.edu, , 
177, Devry University-N Brunswick, None, , 
68, University of Illinois at Urbana-Champaign, None, , 
144, University of California at Irvine, www.uci.edu, , 
26, Vassar College, www.vassar.edu, , 
113, University of California, www.universityofcalifornia.edu, , 
41, College of William & Mary, None, , 
157, Cal Polytechnic State University, None, , 
76, University of Texas at Austin, www.utexas.edu, , 
32, Rice University, www.rice.edu, , 
170, University of Maryland, www.umd.edu, , 
89, Boston University, www.bu.edu, , 
118, University of Colorado, None, , 
148, Grove City College, http://www.gcc.edu/, , 
77, Lehigh University, www.lehigh.edu, , 
194, College of The Ozarks, None, , 
6, Yale University, yale.edu, , 
38, Colgate University, www.colgate.edu, , 
72, New York University, www.nyu.edu, , 
66, Macalester College, macalester.edu, , 
29, Wellesley College, wellesley.edu, , 
160, Hobart & William Smith Clgs, None, , 
42, Kenyon College, www.kenyon.edu, , 
28, Georgetown University, www.georgetown.edu, , 
166, Pennsylvania State University, www.psu.edu, , 
191, Saint Louis University, www.slu.edu, , 
1, University of California at Berkeley, berkeley.edu, , 
78, University of Southern California, www.usc.edu, , 
18, Dartmouth College, dartmouth.edu, , 
176, Miami University-Oxford, None, , 
156, Creighton University, www.creighton.edu, , 
59, Carnegie-Mellon University, None, , 
119, Purdue University, www.purdue.edu, , 
21, California Institute of Technology, caltech.edu, , 
139, University of Denver, www.du.edu, , 
201, Gustavus Adolphus College, gustavus.edu, , 
156, University of Mass at Lowell, None, , 
216, Texas Christian University, www.tcu.edu, , 
40, University of Virginia, www.virginia.edu, , 
209, Northeastern University, www.northeastern.edu, , 
44, University of California, Los Angeles, ucla.edu, , 
116, University of California at Santa Barbara, www.ucsb.edu, , 
103, Gettysburg College, www.gettysburg.edu, , 
