University Name, Website, College Application Submission Date, Source
Christian Brothers University, www.cbu.edu, ,
Montana Tech Of The University Of Montana, None, ,
SUNY Stony Brook University, None, ,
Westminster College, None, ,
Lynn University, lynn.edu, ,
University of New Orleans, www.uno.edu, ,
University of North Texas, www.unt.edu, ,
East Tennessee State University, www.etsu.edu, ,
Illinois Institute of Technology, www.iit.edu, ,
Dordt College, dordt.edu, ,
University of La Verne, www.laverne.edu, ,
University of Rhode Island, www.uri.edu, ,
Capital University, None, ,
Minnesota State University-Mankato, None, ,
University of St Thomas, None, ,
Azusa Pacific University, www.apu.edu, ,
University of Oregon, www.uoregon.edu, ,
College of Saint Benedict, www.csbsju.edu, ,
University of Northern Iowa, www.uni.edu, ,
Farmingdale State College, farmingdale.edu, ,
Le Moyne College, www.lemoyne.edu, ,
North Dakota State University, www.ndsu.edu, ,
University of Central Oklahoma, uco.edu, ,
Bellarmine University, www.bellarmine.edu, ,
John Jay College of Criminal Just, None, ,
Covenant College, www.covenant.edu, ,
Union University, www.uu.edu, ,
Wells College, http://www.wells.edu, ,
Cornell College, cornellcollege.edu, ,
Texas A&M University - Corpus Christi, None, ,
Florida State University, fsu.edu, ,
Millersville University, www.millersville.edu, ,
Ohio Northern University, www.onu.edu, ,
Seattle Pacific University, spu.edu, ,
California St University-Fullerton, None, ,
San Jose State University, www.sjsu.edu, ,
George Mason University, www.gmu.edu, ,
Mount Saint Mary College, www.msmc.edu, ,
University of Southern Mississippi, www.usm.edu, ,
College of St Scholastica, None, ,
West Virginia University, www.wvu.edu, ,
Guilford College, guilford.edu, ,
William Jewell College, www.jewell.edu, ,
California St University-Sacramento, None, ,
Florida International University-Miami, None, ,
St John Fisher College, www.sjfc.edu, ,
Mississippi College, www.mc.edu, ,
Colorado State University - Pueblo, None, ,
Lycoming College, www.lycoming.edu, ,
CUNY Queens College, None, ,
Mills College, www.mills.edu, ,
New Jersey Institute of Technology, njit.edu, ,
Beal College, www.bealcollege.edu, ,
Montclair State University, www.montclair.edu, ,
University of Texas-Arlington, None, ,
Ripon College, None, ,
Texas Southern University, www.tsu.edu, ,
New York Law School, www.nyls.edu, ,
Hanover College, www.hanover.edu, ,
University of New England, None, ,
University Of Wisconsin-Eau Claire, None, ,
Wilmington University, wilmu.edu, ,
Washington State University, www.wsu.edu, ,
University of Hartford, www.hartford.edu, ,
SUNY College of Environmental Science and Forestry, www.esf.edu, ,
Louisiana Tech University, www.latech.edu, ,
University of West Florida, www.uwf.edu, ,
Fairleigh Dickinson University-Metropolitan Campus, None, ,
Seton Hall University, www.shu.edu, ,
Oral Roberts University, www.oru.edu, ,
Washington & Jefferson College, None, ,
Western Michigan University, www.wmich.edu, ,
Saint Vincent College, www.stvincent.edu, ,
Mississippi State University, msstate.edu, ,
University of Alaska - Anchorage, None, ,
Lane College, www.lanecollege.edu, ,
Cal St University-San Bernardino, None, ,
Drexel University, www.drexel.edu, ,
Indiana University-Purdue University , None, ,
Ball State University, www.bsu.edu, ,
Michigan Technological University, www.mtu.edu, ,
Texas A&M University - Kingsville, None, ,
Neumann College, neumann.edu, ,
University of Idaho, www.idaho.edu, ,
Appalachian State University, www.appstate.edu, ,
University of South Florida, www.usf.edu, ,
Christopher Newport University, cnu.edu, ,
Stonehill College, www.stonehill.edu, ,
Bryant University, www.bryant.edu, ,
SUNY College at Oneonta, http://www.oneonta.edu, ,
University of South Carolina, www.sc.edu, ,
Gordon College, None, ,
East Carolina University, www.ecu.edu, ,
Tennessee State University, tnstate.edu, ,
Allegheny College, www.allegheny.edu, ,
Western State College, www.western.edu, ,
Murray State University, www.murraystate.edu, ,
Bowling Green State University, www.bgsu.edu, ,
Southeastern Louisiana University, www.southeastern.edu, ,
St. Mary's University, None, ,
Hiram College, www.hiram.edu, ,
King'S College, None, ,
Walla Walla University, www.wallawalla.edu, ,
Florida Southern College, http://www.flsouthern.edu, ,
Immaculata University, http://www.immaculata.edu, ,
Webster University, webster.edu, ,
University of Kansas, ku.edu, ,
Boise State University, None, ,
Middle Tennessee State University, www.mtsu.edu, ,
University of Alabama at Birmingham, www.uab.edu, ,
Humboldt State University, humboldt.edu, ,
Georgia State University, www.gsu.edu, ,
Concordia College-Moorhead, None, ,
Brigham Young University-Idaho, None, ,
Clarendon College, None, ,
Nova Southeastern University, nova.edu, ,
University of Mississippi, www.olemiss.edu, ,
Old Dominion University, www.odu.edu, ,
University Of North Carolina At Asheville, None, ,
California St University-Northridge, None, ,
Linfield College, linfield.edu, ,
Claflin University, www.claflin.edu, ,
University of Northwestern Ohio, www.unoh.edu, ,
La Salle University, www.lasalle.edu, ,
Bradley University, www.bradley.edu, ,
Columbia College, None, ,
Rochester Institute of Tech, None, ,
High Point University, www.highpoint.edu, ,
University of Akron, www.uakron.edu, ,
Rollins College, None, ,
University of Illinois-Chicago, None, ,
University of Arizona, www.arizona.edu, ,
Taylor University, None, ,
Cedarville University, www.cedarville.edu, ,
Eastern Kentucky University, official website, ,
University of The Pacific, None, ,
Butler University, www.butler.edu, ,
Quinnipiac University, quinnipiac.edu, ,
Centenary College Of Louisiana, None, ,
St. Catherine University, www.stkate.edu, ,
Warren Wilson College,  www.warren-wilson.edu , ,
Franciscan University, franciscan.edu, ,
University of Memphis, None, ,
University of Hawaii, www.hawaii.edu, ,
Salisbury University, www.salisbury.edu., ,
Pacific Lutheran University, www.plu.edu, ,
University of Maryland Baltimore Cty, None, ,
Adelphi University, www.adelphi.edu, ,
Saint Mary's University of Minnesota, None, ,
Newman University, None, ,
Texas Tech University, ttu.edu, ,
Salem College, salem.edu, ,
Montana State University, www.montana.edu, ,
Iowa State University, www.iastate.edu, ,
Goucher College, www.goucher.edu, ,
Eckerd College, www.eckerd.edu, ,
Loyola University-New Orleans, None, ,
Clarkson University, www.clarkson.edu, ,
University of North Carolina at Greensboro, www.uncg.edu, ,
Alma College, alma.edu, ,
Converse College, converse.edu, ,
Hofstra University, www.hofstra.edu, ,
University of Toledo, www.utoledo.edu, ,
Western Kentucky University, www.wku.edu, ,
Baruch College, www.baruch.cuny.edu, ,
University at Buffalo, www.buffalo.edu, ,
University of Missouri at Columbia, www.missouri.edu, ,
University of Massachusetts at Amherst, www.umass.edu, ,
Agnes Scott College, www.agnesscott.edu, ,
University of Alabama at Huntsville , www.uah.edu, ,
